question,answer,prediction,p_internal,p_consistency,p_semantic,p_selfeval,num_samples,model
A sophomore is a student in which year of a US college?,second,"A sophomore is a student who has completed their first year and is currently enrolled in their second year of a US college. They are typically between 18 and 20 years old, depending on when they started high school. Sophomores are usually one year younger than juniors and two years younger than seniors.
",0.6974451661109924,0.9218976,0.9218975901603699,0.95,5,Qwen2.5-1.5B
Sara Jane Moore was responsible for an unsuccessful attempt to assassinate which American President?,gerald ford,"John F. Kennedy

Explanation: Sara Jane Moore, also known as ""The Unabomber,"" attempted to assassinate President John F. Kennedy on November 22, 1963, during his motorcade through Dallas, Texas. The assassination attempt involved planting a bomb in Kennedy's limousine",0.757507860660553,0.63088393,0.6308839321136475,0.85,5,Qwen2.5-1.5B
What is the name of the assembly of cardinals for the election of a pope?,conclave,"The College of Cardinals

Explanation: The College of Cardinals is an assembly of cardinals that has been in existence since 1215 and plays a crucial role in the governance of the Catholic Church. It is responsible for electing the Pope, who is considered the Bishop of Rome and the leader of the worldwide Catholic",0.6371039628982544,0.8544291,0.8544292449951172,0.85,5,Qwen2.5-1.5B
"Which cocktail consists of rum, curacao and lime juice?",mai tai,"The Mojito is a popular cocktail that consists of rum, fresh mint leaves, lime juice, simple syrup, sugar, ice, soda water or club soda, and freshly squeezed lemon juice. While it doesn't explicitly mention curacao, this cocktail often includes a touch of orange liqueur to enhance its flavor profile. However",0.6903501272201538,0.7153131,0.7153130769729614,0.85,5,Qwen2.5-1.5B
"What was the occupation of Mr. Sowerberry, in ‘Oliver Twist’?",undertaker,"The occupation of Mr. Sowerberry in 'Oliver Twist' is that he was a butcher. The passage states: ""And I saw a man come down from London, with his coat unfastened, and his breeches buttoned up to his knees; for it was very cold, and he had no",0.546053546667099,0.8005756,0.8005757331848145,0.95,5,Qwen2.5-1.5B
Melanie Molitor is the mom of which tennis world NO 1?,martina hingis,"I'm sorry, but I don't have enough information to answer this question. Melanie Molitor may be a well-known figure in tennis or related sports, but without more context about her specific achievements and position within the sport's hierarchy, it's not possible for me to determine if she holds the title of ""Tennis",0.6581507444381713,0.786399,0.7863990068435669,0.85,5,Qwen2.5-1.5B
Which builder of steam engines formed a successful partnership with Matthew Boulton?,james watt,James Watt,0.6056971311569214,0.8166375,0.8166375160217285,0.85,5,Qwen2.5-1.5B
Who also writes using the pseudonym 'Barbara Vine'?,ruth rendell,"Barbara Vine is a pen name used by British crime writer Ian Rankin. While he does not write under this pseudonym, his wife Margaret Vine does use it for her own writing career. The pseudonym 'Barbara Vine' was first used by her in 1973 and has been used to publish",0.5831984400749206,0.65703785,0.6570377945899963,0.85,5,Qwen2.5-1.5B
"For a proper fraction, the numerator is",less than denominator,"less than or equal to the denominator. 

A proper fraction has its numerator smaller than its denominator. This means it's always less than 1 and represents part of a whole. For example, in the fraction 3/4, the numerator (3) is less than the denominator (4). So for any proper",0.7620028257369995,0.8711298,0.8711296916007996,0.5,5,Qwen2.5-1.5B
"What boxer was stripped of his heavyweight boxing titles when he refused his US army induction in April, 1967?",muhammed ali,"Elgin S. Baylor

The boxer who was stripped of his heavyweight boxing titles and subsequently refused to be drafted into the U.S. Army in April 1967 is Elgin S. Baylor. He was known for his controversial stance against military service during that time period. This incident made him a symbol of",0.6804765224456787,0.510579,0.5105789303779602,0.85,5,Qwen2.5-1.5B
Who was the Italian born clown who performed at Blackpool Tower Circus for over forty years?,charlie cairoli,The Italian born clown who performed at Blackpool Tower Circus for over forty years is Luigi Balla.,0.6690293192863465,0.76106524,0.7610651254653931,0.85,5,Qwen2.5-1.5B
